Estado,Year,tipo_energia,geracao
Maranhão,2020,Geração Total,"13,634"
Piauí,2020,Geração Total,"8,172"
Ceará,2020,Geração Total,"10,345"
Rio G. do Norte,2020,Geração Total,"17,896"
Paraíba,2020,Geração Total,"1,501"
Pernambuco,2020,Geração Total,"10,151"
Alagoas,2020,Geração Total,"13,976"
Sergipe,2020,Geração Total,"8,015"
Bahia,2020,Geração Total,"37,867"
Minas Gerais,2020,Geração Total,"62,250"
Espírito Santo,2020,Geração Total,"10,141"
Rio de Janeiro,2020,Geração Total,"47,940"
São Paulo,2020,Geração Total,"68,607"
Paraná,2020,Geração Total,"66,728"
Santa Catarina,2020,Geração Total,"16,590"
Rio G. do Sul,2020,Geração Total,"26,107"
Mato G. do Sul,2020,Geração Total,"25,479"
Mato Grosso,2020,Geração Total,"24,567"
Goiás,2020,Geração Total,"29,685"
Distrito Federal,2020,Geração Total,176
BRASIL,2019,Geração Total,"626,328"
Rondônia,2019,Geração Total,"39,064"
Acre,2019,Geração Total,252
Amazonas,2019,Geração Total,"10,455"
Roraima,2019,Geração Total,"1,102"
Pará,2019,Geração Total,"58,628"
Amapá,2019,Geração Total,"3,192"
Tocantins,2019,Geração Total,"8,373"
Maranhão,2019,Geração Total,"13,209"
Piauí,2019,Geração Total,"7,765"
Ceará,2019,Geração Total,"14,396"
Rio G. do Norte,2019,Geração Total,"16,273"
Paraíba,2019,Geração Total,"1,570"
Pernambuco,2019,Geração Total,"10,166"
Alagoas,2019,Geração Total,"8,211"
Sergipe,2019,Geração Total,"4,186"
Bahia,2019,Geração Total,"32,342"
Minas Gerais,2019,Geração Total,"53,108"
Espírito Santo,2019,Geração Total,"8,457"
Rio de Janeiro,2019,Geração Total,"51,725"
São Paulo,2019,Geração Total,"68,718"
Paraná,2019,Geração Total,"81,733"
Santa Catarina,2019,Geração Total,"22,971"
Rio G. do Sul,2019,Geração Total,"31,629"
Mato G. do Sul,2019,Geração Total,"25,458"
Mato Grosso,2019,Geração Total,"26,772"
Goiás,2019,Geração Total,"26,456"
Distrito Federal,2019,Geração Total,115
BRASIL,2018,Geração Total,"601,396"
Rondônia,2018,Geração Total,"36,625"
Acre,2018,Geração Total,242
Amazonas,2018,Geração Total,"8,813"
Roraima,2018,Geração Total,302
Pará,2018,Geração Total,"54,142"
Amapá,2018,Geração Total,"3,161"
Tocantins,2018,Geração Total,"9,308"
Maranhão,2018,Geração Total,"13,209"
Piauí,2018,Geração Total,"7,068"
Ceará,2018,Geração Total,"12,957"
Rio G. do Norte,2018,Geração Total,"16,052"
Paraíba,2018,Geração Total,"1,838"
Pernambuco,2018,Geração Total,"10,570"
Alagoas,2018,Geração Total,"5,950"
Sergipe,2018,Geração Total,"2,834"
Bahia,2018,Geração Total,"25,911"
Minas Gerais,2018,Geração Total,"44,239"
Espírito Santo,2018,Geração Total,"9,472"
Rio de Janeiro,2018,Geração Total,"51,496"
São Paulo,2018,Geração Total,"66,495"
Paraná,2018,Geração Total,"93,737"
Santa Catarina,2018,Geração Total,"22,425"
Rio G. do Sul,2018,Geração Total,"30,673"
Mato G. do Sul,2018,Geração Total,"25,209"
Mato Grosso,2018,Geração Total,"23,513"
Goiás,2018,Geração Total,"25,058"
Distrito Federal,2018,Geração Total,98
BRASIL,2017,Geração Total,"587,962"
Rondônia,2017,Geração Total,"34,238"
Acre,2017,Geração Total,189
Amazonas,2017,Geração Total,"7,070"
Roraima,2017,Geração Total,120
Pará,2017,Geração Total,"43,002"
Amapá,2017,Geração Total,"2,660"
Tocantins,2017,Geração Total,"7,484"
Maranhão,2017,Geração Total,"14,400"
Piauí,2017,Geração Total,"5,552"
Ceará,2017,Geração Total,"15,547"
Rio G. do Norte,2017,Geração Total,"15,922"
Paraíba,2017,Geração Total,"1,895"
Pernambuco,2017,Geração Total,"11,767"
Alagoas,2017,Geração Total,"6,138"
Sergipe,2017,Geração Total,"2,979"
Bahia,2017,Geração Total,"21,827"
Minas Gerais,2017,Geração Total,"44,922"
Espírito Santo,2017,Geração Total,"7,990"
Rio de Janeiro,2017,Geração Total,"57,965"
São Paulo,2017,Geração Total,"72,576"
Paraná,2017,Geração Total,"96,817"
Santa Catarina,2017,Geração Total,"21,150"
Rio G. do Sul,2017,Geração Total,"30,230"
Mato G. do Sul,2017,Geração Total,"24,129"
Mato Grosso,2017,Geração Total,"19,952"
Goiás,2017,Geração Total,"21,375"
Distrito Federal,2017,Geração Total,67
BRASIL,2016,Geração Total,"578,898"
Rondônia,2016,Geração Total,"23,163"
Acre,2016,Geração Total,241
Amazonas,2016,Geração Total,"6,699"
Roraima,2016,Geração Total,156
Pará,2016,Geração Total,"31,774"
Amapá,2016,Geração Total,"1,891"
Tocantins,2016,Geração Total,"8,282"
Maranhão,2016,Geração Total,"14,741"
Piauí,2016,Geração Total,"3,619"
Ceará,2016,Geração Total,"14,343"
Rio G. do Norte,2016,Geração Total,"13,766"
Paraíba,2016,Geração Total,"1,496"
Pernambuco,2016,Geração Total,"10,998"
Alagoas,2016,Geração Total,"8,504"
Sergipe,2016,Geração Total,"4,333"
Bahia,2016,Geração Total,"21,279"
Minas Gerais,2016,Geração Total,"47,070"
Espírito Santo,2016,Geração Total,"9,179"
Rio de Janeiro,2016,Geração Total,"50,728"
São Paulo,2016,Geração Total,"73,460"
Paraná,2016,Geração Total,"109,880"
Santa Catarina,2016,Geração Total,"28,116"
Rio G. do Sul,2016,Geração Total,"33,229"
Mato G. do Sul,2016,Geração Total,"24,303"
Mato Grosso,2016,Geração Total,"13,428"
Goiás,2016,Geração Total,"24,135"
Distrito Federal,2016,Geração Total,85
BRASIL,2015,Geração Total,"581,486"
Rondônia,2015,Geração Total,"26,463"
Acre,2015,Geração Total,281
Amazonas,2015,Geração Total,"9,143"
Roraima,2015,Geração Total,194
Pará,2015,Geração Total,"38,304"
Amapá,2015,Geração Total,"2,380"
Tocantins,2015,Geração Total,"10,347"
Maranhão,2015,Geração Total,"13,781"
Piauí,2015,Geração Total,"1,444"
Ceará,2015,Geração Total,"16,519"
Rio G. do Norte,2015,Geração Total,"10,546"
Paraíba,2015,Geração Total,"3,356"
Pernambuco,2015,Geração Total,"11,032"
Alagoas,2015,Geração Total,"10,052"
Sergipe,2015,Geração Total,"5,233"
Bahia,2015,Geração Total,"22,289"
Minas Gerais,2015,Geração Total,"37,695"
Espírito Santo,2015,Geração Total,"9,757"
Rio de Janeiro,2015,Geração Total,"58,195"
São Paulo,2015,Geração Total,"62,654"
Paraná,2015,Geração Total,"99,410"
Santa Catarina,2015,Geração Total,"31,258"
Rio G. do Sul,2015,Geração Total,"36,302"
Mato G. do Sul,2015,Geração Total,"23,611"
Mato Grosso,2015,Geração Total,"14,253"
Goiás,2015,Geração Total,"26,869"
Distrito Federal,2015,Geração Total,119
BRASIL,2014,Geração Total,"590,542"
Rondônia,2014,Geração Total,"15,148"
Acre,2014,Geração Total,250
Amazonas,2014,Geração Total,"8,946"
Roraima,2014,Geração Total,245
Pará,2014,Geração Total,"41,951"
Amapá,2014,Geração Total,"1,933"
Tocantins,2014,Geração Total,"12,228"
Maranhão,2014,Geração Total,"15,972"
Piauí,2014,Geração Total,990
Ceará,2014,Geração Total,"15,957"
Rio G. do Norte,2014,Geração Total,"7,012"
Paraíba,2014,Geração Total,"3,435"
Pernambuco,2014,Geração Total,"12,714"
Alagoas,2014,Geração Total,"11,375"
Sergipe,2014,Geração Total,"5,896"
Bahia,2014,Geração Total,"23,103"
Minas Gerais,2014,Geração Total,"46,134"
Espírito Santo,2014,Geração Total,"10,352"
Rio de Janeiro,2014,Geração Total,"59,298"
São Paulo,2014,Geração Total,"65,507"
Paraná,2014,Geração Total,"98,797"
Santa Catarina,2014,Geração Total,"29,416"
Rio G. do Sul,2014,Geração Total,"34,036"
Mato G. do Sul,2014,Geração Total,"24,344"
Mato Grosso,2014,Geração Total,"14,261"
Goiás,2014,Geração Total,"31,116"
Distrito Federal,2014,Geração Total,127
BRASIL,2013,Geração Total,"570,835"
Rondônia,2013,Geração Total,"6,407"
Acre,2013,Geração Total,234
Amazonas,2013,Geração Total,"9,970"
Roraima,2013,Geração Total,169
Pará,2013,Geração Total,"41,191"
Amapá,2013,Geração Total,"1,816"
Tocantins,2013,Geração Total,"11,881"
Maranhão,2013,Geração Total,"11,181"
Piauí,2013,Geração Total,731
Ceará,2013,Geração Total,"10,396"
Rio G. do Norte,2013,Geração Total,"3,756"
Paraíba,2013,Geração Total,"1,854"
Pernambuco,2013,Geração Total,"9,733"
Alagoas,2013,Geração Total,"13,029"
Sergipe,2013,Geração Total,"6,760"
Bahia,2013,Geração Total,"22,416"
Minas Gerais,2013,Geração Total,"54,013"
Espírito Santo,2013,Geração Total,"8,464"
Rio de Janeiro,2013,Geração Total,"55,921"
São Paulo,2013,Geração Total,"75,517"
Paraná,2013,Geração Total,"103,447"
Santa Catarina,2013,Geração Total,"25,660"
Rio G. do Sul,2013,Geração Total,"27,306"
Mato G. do Sul,2013,Geração Total,"25,281"
Mato Grosso,2013,Geração Total,"12,361"
Goiás,2013,Geração Total,"31,212"
Distrito Federal,2013,Geração Total,129
BRASIL,2012,Geração Total,"552,498"
Rondônia,2012,Geração Total,"4,166"
Acre,2012,Geração Total,372
Amazonas,2012,Geração Total,"9,556"
Roraima,2012,Geração Total,128
Pará,2012,Geração Total,"41,223"
Amapá,2012,Geração Total,"1,704"
Tocantins,2012,Geração Total,"12,758"
Maranhão,2012,Geração Total,"3,621"
Piauí,2012,Geração Total,723
Ceará,2012,Geração Total,"4,425"
Rio G. do Norte,2012,Geração Total,"2,920"
Paraíba,2012,Geração Total,"1,010"
Pernambuco,2012,Geração Total,"8,395"
Alagoas,2012,Geração Total,"19,325"
Sergipe,2012,Geração Total,"10,042"
Bahia,2012,Geração Total,"25,816"
Minas Gerais,2012,Geração Total,"71,655"
Espírito Santo,2012,Geração Total,"6,995"
Rio de Janeiro,2012,Geração Total,"47,610"
São Paulo,2012,Geração Total,"78,539"
Paraná,2012,Geração Total,"92,819"
Santa Catarina,2012,Geração Total,"16,963"
Rio G. do Sul,2012,Geração Total,"17,829"
Mato G. do Sul,2012,Geração Total,"25,896"
Mato Grosso,2012,Geração Total,"10,802"
Goiás,2012,Geração Total,"37,075"
Distrito Federal,2012,Geração Total,130
BRASIL,2011,Geração Total,"531,758"
Rondônia,2011,Geração Total,"3,216"
Acre,2011,Geração Total,204
Amazonas,2011,Geração Total,"9,037"
Roraima,2011,Geração Total,133
Pará,2011,Geração Total,"43,034"
Amapá,2011,Geração Total,"1,566"
Tocantins,2011,Geração Total,"10,650"
Maranhão,2011,Geração Total,"1,960"
Piauí,2011,Geração Total,742
Ceará,2011,Geração Total,"2,584"
Rio G. do Norte,2011,Geração Total,"1,586"
Paraíba,2011,Geração Total,384
Pernambuco,2011,Geração Total,"7,702"
Alagoas,2011,Geração Total,"18,763"
Sergipe,2011,Geração Total,"9,672"
Bahia,2011,Geração Total,"23,565"
Minas Gerais,2011,Geração Total,"63,771"
Espírito Santo,2011,Geração Total,"6,590"
Rio de Janeiro,2011,Geração Total,"38,580"
São Paulo,2011,Geração Total,"72,148"
Paraná,2011,Geração Total,"99,399"
Santa Catarina,2011,Geração Total,"26,821"
Rio G. do Sul,2011,Geração Total,"27,801"
Mato G. do Sul,2011,Geração Total,"22,688"
Mato Grosso,2011,Geração Total,"7,201"
Goiás,2011,Geração Total,"31,840"
Distrito Federal,2011,Geração Total,120
BRASIL,2023,Hidrelétrica,"425,996"
Rondônia,2023,Hidrelétrica,"27,327"
Acre,2023,Hidrelétrica,0
Amazonas,2023,Hidrelétrica,"1,411"
Roraima,2023,Hidrelétrica,39
Pará,2023,Hidrelétrica,"64,006"
Amapá,2023,Hidrelétrica,"3,110"
Tocantins,2023,Hidrelétrica,"9,274"
Maranhão,2023,Hidrelétrica,"2,527"
Piauí,2023,Hidrelétrica,570
Ceará,2023,Hidrelétrica,0
Rio G. do Norte,2023,Hidrelétrica,14
Paraíba,2023,Hidrelétrica,0
Pernambuco,2023,Hidrelétrica,"2,660"
Alagoas,2023,Hidrelétrica,"11,825"
Sergipe,2023,Hidrelétrica,"6,291"
Bahia,2023,Hidrelétrica,"12,916"
Minas Gerais,2023,Hidrelétrica,"47,193"
Espírito Santo,2023,Hidrelétrica,"2,167"
Rio de Janeiro,2023,Hidrelétrica,"6,249"
São Paulo,2023,Hidrelétrica,"44,304"
Paraná,2023,Hidrelétrica,"88,279"
Santa Catarina,2023,Hidrelétrica,"22,534"
Rio G. do Sul,2023,Hidrelétrica,"20,061"
Mato G. do Sul,2023,Hidrelétrica,"15,982"
Mato Grosso,2023,Hidrelétrica,"18,263"
Goiás,2023,Hidrelétrica,"18,929"
Distrito Federal,2023,Hidrelétrica,65
BRASIL,2022,Hidrelétrica,"427,114"
Rondônia,2022,Hidrelétrica,"33,894"
Acre,2022,Hidrelétrica,0
Amazonas,2022,Hidrelétrica,"1,468"
Roraima,2022,Hidrelétrica,36
Pará,2022,Hidrelétrica,"75,188"
Amapá,2022,Hidrelétrica,"3,789"
Tocantins,2022,Hidrelétrica,"10,303"
Maranhão,2022,Hidrelétrica,"2,724"
Piauí,2022,Hidrelétrica,614
Ceará,2022,Hidrelétrica,4
Rio G. do Norte,2022,Hidrelétrica,13
Paraíba,2022,Hidrelétrica,4
Pernambuco,2022,Hidrelétrica,"3,212"
Alagoas,2022,Hidrelétrica,"14,209"
Sergipe,2022,Hidrelétrica,"7,637"
Bahia,2022,Hidrelétrica,"15,676"
Minas Gerais,2022,Hidrelétrica,"44,654"
Espírito Santo,2022,Hidrelétrica,"2,560"
Rio de Janeiro,2022,Hidrelétrica,"6,218"
São Paulo,2022,Hidrelétrica,"32,286"
Paraná,2022,Hidrelétrica,"78,119"
Santa Catarina,2022,Hidrelétrica,"20,538"
Rio G. do Sul,2022,Hidrelétrica,"18,553"
Mato G. do Sul,2022,Hidrelétrica,"13,944"
Mato Grosso,2022,Hidrelétrica,"21,047"
Goiás,2022,Hidrelétrica,"20,348"
Distrito Federal,2022,Hidrelétrica,72
BRASIL,2021,Hidrelétrica,"362,818"
Rondônia,2021,Hidrelétrica,"36,723"
Acre,2021,Hidrelétrica,0
Amazonas,2021,Hidrelétrica,"1,522"
Roraima,2021,Hidrelétrica,6
Pará,2021,Hidrelétrica,"69,621"
Amapá,2021,Hidrelétrica,"4,115"
Tocantins,2021,Hidrelétrica,"10,059"
Maranhão,2021,Hidrelétrica,"2,848"
Piauí,2021,Hidrelétrica,565
Ceará,2021,Hidrelétrica,4
Rio G. do Norte,2021,Hidrelétrica,14
Paraíba,2021,Hidrelétrica,3
Pernambuco,2021,Hidrelétrica,"2,082"
Alagoas,2021,Hidrelétrica,"9,305"
Sergipe,2021,Hidrelétrica,"4,949"
Bahia,2021,Hidrelétrica,"10,186"
Minas Gerais,2021,Hidrelétrica,"33,947"
Espírito Santo,2021,Hidrelétrica,"2,157"
Rio de Janeiro,2021,Hidrelétrica,"5,927"
São Paulo,2021,Hidrelétrica,"28,311"
Paraná,2021,Hidrelétrica,"61,548"
Santa Catarina,2021,Hidrelétrica,"13,784"
Rio G. do Sul,2021,Hidrelétrica,"13,990"
Mato G. do Sul,2021,Hidrelétrica,"13,360"
Mato Grosso,2021,Hidrelétrica,"20,110"
Goiás,2021,Hidrelétrica,"17,601"
Distrito Federal,2021,Hidrelétrica,81
BRASIL,2020,Hidrelétrica,"396,381"
Rondônia,2020,Hidrelétrica,"34,837"
Acre,2020,Hidrelétrica,0
Amazonas,2020,Hidrelétrica,"1,263"
Roraima,2020,Hidrelétrica,6
Pará,2020,Hidrelétrica,"59,334"
Amapá,2020,Hidrelétrica,"2,577"
Tocantins,2020,Hidrelétrica,"10,044"
Maranhão,2020,Hidrelétrica,"2,639"
Piauí,2020,Hidrelétrica,528
Ceará,2020,Hidrelétrica,4
Rio G. do Norte,2020,Hidrelétrica,0
Paraíba,2020,Hidrelétrica,3
Pernambuco,2020,Hidrelétrica,"2,877"
Alagoas,2020,Hidrelétrica,"12,982"
Sergipe,2020,Hidrelétrica,"6,874"
Bahia,2020,Hidrelétrica,"14,142"
Minas Gerais,2020,Hidrelétrica,"51,385"
Espírito Santo,2020,Hidrelétrica,"2,326"
Rio de Janeiro,2020,Hidrelétrica,"6,215"
São Paulo,2020,Hidrelétrica,"40,042"
Paraná,2020,Hidrelétrica,"59,772"
Santa Catarina,2020,Hidrelétrica,"10,594"
Rio G. do Sul,2020,Hidrelétrica,"13,528"
Mato G. do Sul,2020,Hidrelétrica,"17,548"
Mato Grosso,2020,Hidrelétrica,"22,089"
Goiás,2020,Hidrelétrica,"24,668"
Distrito Federal,2020,Hidrelétrica,105
BRASIL,2019,Hidrelétrica,"397,877"
Rondônia,2019,Hidrelétrica,"36,159"
Acre,2019,Hidrelétrica,0
Amazonas,2019,Hidrelétrica,"1,293"
Roraima,2019,Hidrelétrica,0
Pará,2019,Hidrelétrica,"57,229"
Amapá,2019,Hidrelétrica,"3,129"
Tocantins,2019,Hidrelétrica,"8,078"
Maranhão,2019,Hidrelétrica,"2,385"
Piauí,2019,Hidrelétrica,520
Ceará,2019,Hidrelétrica,4
Rio G. do Norte,2019,Hidrelétrica,0
Paraíba,2019,Hidrelétrica,4
Pernambuco,2019,Hidrelétrica,"1,664"
Alagoas,2019,Hidrelétrica,"7,387"
Sergipe,2019,Hidrelétrica,"3,937"
Bahia,2019,Hidrelétrica,"7,714"
Minas Gerais,2019,Hidrelétrica,"42,242"
Espírito Santo,2019,Hidrelétrica,"1,311"
Rio de Janeiro,2019,Hidrelétrica,"5,666"
São Paulo,2019,Hidrelétrica,"41,180"
Paraná,2019,Hidrelétrica,"76,470"
Santa Catarina,2019,Hidrelétrica,"17,331"
Rio G. do Sul,2019,Hidrelétrica,"20,664"
Mato G. do Sul,2019,Hidrelétrica,"17,246"
Mato Grosso,2019,Hidrelétrica,"24,300"
Goiás,2019,Hidrelétrica,"21,877"
Distrito Federal,2019,Hidrelétrica,88
BRASIL,2018,Hidrelétrica,"388,971"
Rondônia,2018,Hidrelétrica,"36,263"
Acre,2018,Hidrelétrica,0
Amazonas,2018,Hidrelétrica,889
Roraima,2018,Hidrelétrica,0
Pará,2018,Hidrelétrica,"52,500"
Amapá,2018,Hidrelétrica,"3,103"
Tocantins,2018,Hidrelétrica,"9,041"
Maranhão,2018,Hidrelétrica,"2,430"
Piauí,2018,Hidrelétrica,606
Ceará,2018,Hidrelétrica,1
Rio G. do Norte,2018,Hidrelétrica,0
Paraíba,2018,Hidrelétrica,-1
Pernambuco,2018,Hidrelétrica,"1,239"
Alagoas,2018,Hidrelétrica,"5,145"
Sergipe,2018,Hidrelétrica,"2,588"
Bahia,2018,Hidrelétrica,"6,093"
Minas Gerais,2018,Hidrelétrica,"34,947"
Espírito Santo,2018,Hidrelétrica,"1,932"
Rio de Janeiro,2018,Hidrelétrica,"5,732"
São Paulo,2018,Hidrelétrica,"39,918"
Paraná,2018,Hidrelétrica,"88,746"
Santa Catarina,2018,Hidrelétrica,"16,887"
Rio G. do Sul,2018,Hidrelétrica,"20,285"
Mato G. do Sul,2018,Hidrelétrica,"17,208"
Mato Grosso,2018,Hidrelétrica,"22,680"
Goiás,2018,Hidrelétrica,"20,653"
Distrito Federal,2018,Hidrelétrica,86
BRASIL,2017,Hidrelétrica,"370,906"
Rondônia,2017,Hidrelétrica,"33,953"
Acre,2017,Hidrelétrica,0
Amazonas,2017,Hidrelétrica,"1,081"
Roraima,2017,Hidrelétrica,0
Pará,2017,Hidrelétrica,"41,498"
Amapá,2017,Hidrelétrica,"2,616"
Tocantins,2017,Hidrelétrica,"7,215"
Maranhão,2017,Hidrelétrica,"2,184"
Piauí,2017,Hidrelétrica,500
Ceará,2017,Hidrelétrica,5
Rio G. do Norte,2017,Hidrelétrica,0
Paraíba,2017,Hidrelétrica,4
Pernambuco,2017,Hidrelétrica,"1,277"
Alagoas,2017,Hidrelétrica,"5,377"
Sergipe,2017,Hidrelétrica,"2,724"
Bahia,2017,Hidrelétrica,"5,857"
Minas Gerais,2017,Hidrelétrica,"35,747"
Espírito Santo,2017,Hidrelétrica,"1,043"
Rio de Janeiro,2017,Hidrelétrica,"5,310"
São Paulo,2017,Hidrelétrica,"44,903"
Paraná,2017,Hidrelétrica,"91,935"
Santa Catarina,2017,Hidrelétrica,"15,660"
Rio G. do Sul,2017,Hidrelétrica,"19,935"
Mato G. do Sul,2017,Hidrelétrica,"16,874"
Mato Grosso,2017,Hidrelétrica,"18,110"
Goiás,2017,Hidrelétrica,"17,040"
Distrito Federal,2017,Hidrelétrica,60
BRASIL,2016,Hidrelétrica,"380,911"
Rondônia,2016,Hidrelétrica,"22,541"
Acre,2016,Hidrelétrica,0
Amazonas,2016,Hidrelétrica,576
Roraima,2016,Hidrelétrica,13
Pará,2016,Hidrelétrica,"30,111"
Amapá,2016,Hidrelétrica,"1,831"
Tocantins,2016,Hidrelétrica,"8,026"
Maranhão,2016,Hidrelétrica,"2,166"
Piauí,2016,Hidrelétrica,457
Ceará,2016,Hidrelétrica,4
Rio G. do Norte,2016,Hidrelétrica,0
Paraíba,2016,Hidrelétrica,3
Pernambuco,2016,Hidrelétrica,"1,648"
Alagoas,2016,Hidrelétrica,"7,680"
Sergipe,2016,Hidrelétrica,"4,097"
Bahia,2016,Hidrelétrica,"7,702"
Minas Gerais,2016,Hidrelétrica,"38,755"
Espírito Santo,2016,Hidrelétrica,886
Rio de Janeiro,2016,Hidrelétrica,"4,995"
São Paulo,2016,Hidrelétrica,"47,422"
Paraná,2016,Hidrelétrica,"105,678"
Santa Catarina,2016,Hidrelétrica,"22,765"
Rio G. do Sul,2016,Hidrelétrica,"23,576"
Mato G. do Sul,2016,Hidrelétrica,"17,557"
Mato Grosso,2016,Hidrelétrica,"12,370"
Goiás,2016,Hidrelétrica,"19,970"
Distrito Federal,2016,Hidrelétrica,81
BRASIL,2015,Hidrelétrica,"359,743"
Rondônia,2015,Hidrelétrica,"24,537"
Acre,2015,Hidrelétrica,0
Amazonas,2015,Hidrelétrica,"1,193"
Roraima,2015,Hidrelétrica,19
Pará,2015,Hidrelétrica,"36,600"
Amapá,2015,Hidrelétrica,"1,984"
Tocantins,2015,Hidrelétrica,"10,084"
Maranhão,2015,Hidrelétrica,"2,700"
Piauí,2015,Hidrelétrica,502
Ceará,2015,Hidrelétrica,18
Rio G. do Norte,2015,Hidrelétrica,0
Paraíba,2015,Hidrelétrica,3
Pernambuco,2015,Hidrelétrica,"1,939"
Alagoas,2015,Hidrelétrica,"9,290"
Sergipe,2015,Hidrelétrica,"4,930"
Bahia,2015,Hidrelétrica,"9,067"
Minas Gerais,2015,Hidrelétrica,"27,884"
Espírito Santo,2015,Hidrelétrica,867
Rio de Janeiro,2015,Hidrelétrica,"3,979"
São Paulo,2015,Hidrelétrica,"32,961"
Paraná,2015,Hidrelétrica,"93,835"
Santa Catarina,2015,Hidrelétrica,"25,045"
Rio G. do Sul,2015,Hidrelétrica,"26,363"
Mato G. do Sul,2015,Hidrelétrica,"14,040"
Mato Grosso,2015,Hidrelétrica,"9,861"
Goiás,2015,Hidrelétrica,"21,942"
Distrito Federal,2015,Hidrelétrica,102
BRASIL,2015,Hidrelétrica,"373,439"
BRASIL,2014,Hidrelétrica,"373,439"
Rondônia,2014,Hidrelétrica,"13,060"
Acre,2014,Hidrelétrica,0
Amazonas,2014,Hidrelétrica,"1,466"
Roraima,2014,Hidrelétrica,18
Pará,2014,Hidrelétrica,"40,431"
Amapá,2014,Hidrelétrica,736
Tocantins,2014,Hidrelétrica,"11,958"
Maranhão,2014,Hidrelétrica,"3,252"
Piauí,2014,Hidrelétrica,583
Ceará,2014,Hidrelétrica,8
Rio G. do Norte,2014,Hidrelétrica,0
Paraíba,2014,Hidrelétrica,4
